                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.64979,                0.56131,                 1.0598,                0.60964,                0.43496,                0.43039,                0.18245,                 2.1967,                 2.4202,                 2.7722,              0.0011833,              0.0011833,              0.0011833
                     35,                0.64087,                0.56429,                 1.0553,                0.82277,                0.37975,                 0.4574,                0.20302,                 1.7631,                  2.109,                 2.1975,              0.0011585,              0.0011585,              0.0011585
                     36,                0.62777,                 0.5308,                 1.0418,                0.69116,                0.39241,                 0.4428,                0.18893,                 1.9981,                 1.9045,                 2.5588,              0.0011337,              0.0011337,              0.0011337
                     37,                0.63402,                0.53911,                 1.0474,                0.78813,                0.35443,                0.45591,                0.21023,                 1.7947,                  2.437,                 2.2692,               0.001109,               0.001109,               0.001109
                     38,                0.60696,                0.53689,                 1.0443,                 0.6476,                0.40506,                0.41077,                0.19767,                 2.1852,                 2.6568,                 2.6869,              0.0010842,              0.0010842,              0.0010842
                     39,                0.61125,                0.51971,                 1.0391,                0.79472,                0.43038,                0.47405,                0.21269,                 1.8505,                 2.1352,                 2.1769,              0.0010595,              0.0010595,              0.0010595
                     40,                0.59991,                0.51155,                 1.0277,                0.75704,                0.35443,                0.42273,                0.19191,                 2.0538,                  2.288,                 2.2891,              0.0010347,              0.0010347,              0.0010347
                     41,                0.58065,                 0.4785,                 1.0155,                0.71707,                0.38504,                0.41973,                0.19727,                 1.9236,                   2.12,                 2.1735,                0.00101,                0.00101,                0.00101
                     42,                0.59723,                0.50209,                 1.0324,                 0.5979,                0.39241,                0.41691,                0.18264,                  2.288,                 2.2328,                 2.8105,             0.00098525,             0.00098525,             0.00098525
                     43,                0.60167,                0.50772,                 1.0302,                0.78961,                0.40506,                0.44528,                0.18658,                 2.0006,                 2.0024,                  2.377,              0.0009605,              0.0009605,              0.0009605
                     44,                0.57876,                0.50047,                 1.0243,                0.81724,                0.36709,                 0.4406,                0.20628,                  1.988,                  1.837,                 2.4478,             0.00093575,             0.00093575,             0.00093575
                     45,                0.58979,                0.50262,                 1.0191,                0.65926,                0.37975,                 0.4156,                0.19801,                 2.1696,                 2.4261,                  2.534,               0.000911,               0.000911,               0.000911
                     46,                0.57931,                0.49067,                  1.028,                0.76599,                0.39241,                0.44134,                0.20257,                  1.801,                 2.0585,                 2.0258,             0.00088625,             0.00088625,             0.00088625
                     47,                0.54798,                0.47936,                 1.0075,                  0.785,                  0.416,                0.42353,                0.19229,                 2.0309,                 1.8896,                 2.3261,              0.0008615,              0.0008615,              0.0008615
                     48,                0.55891,                0.49341,                 1.0145,                0.89106,                0.36709,                0.41549,                0.19338,                 2.1481,                 2.1303,                 2.6066,             0.00083675,             0.00083675,             0.00083675
                     49,                 0.5344,                0.45742,                0.99883,                 0.8922,                0.35443,                0.43664,                0.18657,                 1.9368,                 1.5364,                 2.6004,               0.000812,               0.000812,               0.000812
                     50,                0.54618,                0.46893,                 1.0029,                0.77594,                0.41772,                0.45951,                0.21028,                 1.7896,                 2.0377,                 2.2159,             0.00078725,             0.00078725,             0.00078725
                     51,                0.54624,                0.46498,                 1.0031,                0.69943,                0.41772,                0.44729,                0.20852,                 1.9464,                 2.0184,                  2.399,              0.0007625,              0.0007625,              0.0007625
                     52,                0.56608,                0.48341,                 1.0172,                0.67205,                 0.4557,                0.45725,                0.19606,                  2.181,                  2.078,                 2.6177,             0.00073775,             0.00073775,             0.00073775
                     53,                0.53148,                0.45621,                0.99272,                0.78195,                0.37975,                 0.4379,                0.18977,                 2.1868,                 2.2261,                 2.7144,               0.000713,               0.000713,               0.000713
                     54,                0.51906,                0.44836,                0.98874,                0.87484,                0.39241,                0.44137,                 0.1997,                 1.8077,                 2.0089,                 2.0761,             0.00068825,             0.00068825,             0.00068825
                     55,                 0.5111,                0.44088,                0.98499,                0.84073,                0.35443,                0.42563,                0.18176,                 2.2535,                 2.1156,                 2.7286,              0.0006635,              0.0006635,              0.0006635
                     56,                0.50098,                0.43155,                0.98247,                0.80808,                0.37318,                0.43251,                0.18243,                 2.0866,                 2.0806,                 2.6204,             0.00063875,             0.00063875,             0.00063875
                     57,                0.49246,                0.42233,                0.97373,                0.70731,                0.39241,                 0.4165,                0.19187,                 2.2448,                 2.1465,                 3.1314,               0.000614,               0.000614,               0.000614
                     58,                0.49271,                0.41405,                0.97202,                0.80303,                0.37975,                0.41196,                0.18308,                 1.8475,                  2.329,                 2.2687,             0.00058925,             0.00058925,             0.00058925
                     59,                0.48908,                0.40981,                0.97075,                0.87122,                0.37975,                0.43603,                0.18859,                 2.1741,                  2.134,                  2.664,              0.0005645,              0.0005645,              0.0005645
                     60,                0.48626,                0.41201,                0.97411,                0.82757,                0.37975,                 0.4384,                0.20249,                 2.0642,                 1.9328,                 2.4114,             0.00053975,             0.00053975,             0.00053975
                     61,                 0.4704,                0.40892,                0.97444,                0.72893,                0.43038,                0.45699,                0.20783,                 1.9771,                  2.069,                 2.3061,               0.000515,               0.000515,               0.000515
                     62,                0.48105,                0.41079,                0.97319,                0.78686,                0.40506,                0.43906,                0.19637,                 1.9492,                 2.2809,                 2.3922,             0.00049025,             0.00049025,             0.00049025
                     63,                0.46572,                0.39913,                0.95585,                0.82343,                0.39241,                 0.4432,                0.19929,                 2.0729,                 2.6486,                 2.4851,              0.0004655,              0.0004655,              0.0004655
